"filename", "language", "JavaScript", "Markdown", "JSON", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\notifications\Notifications.jsx", "JavaScript JSX", 0, 0, 0, 141, 0, 1, 11, 153
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\notifications\notification.module.css", "CSS", 0, 0, 0, 0, 23, 0, 3, 26
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\reports\Reports.jsx", "JavaScript JSX", 0, 0, 0, 153, 0, 88, 14, 255
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\search\Search.jsx", "JavaScript JSX", 0, 0, 0, 213, 0, 1, 21, 235
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\search\search.module.css", "CSS", 0, 0, 0, 0, 126, 1, 17, 144
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\sidebar.module.css", "CSS", 0, 0, 0, 0, 172, 3, 27, 202
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\userDetail\UserDetail.jsx", "JavaScript JSX", 0, 0, 0, 54, 0, 0, 6, 60
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\newSidebar\userDetail\userDetail.module.css", "CSS", 0, 0, 0, 0, 45, 0, 6, 51
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\progressBar\ProgressBar.jsx", "JavaScript JSX", 0, 0, 0, 35, 0, 0, 9, 44
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\progressBar\style.css", "CSS", 0, 0, 0, 0, 12, 0, 1, 13
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\SetWorkflowInDoc.jsx", "JavaScript JSX", 0, 0, 0, 296, 0, 7, 30, 333
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\assignButton\AssignButton.jsx", "JavaScript JSX", 0, 0, 0, 22, 0, 0, 3, 25
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\contentMapOfDoc\ContentMapOfDoc.jsx", "JavaScript JSX", 0, 0, 0, 76, 0, 15, 15, 106
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\contentMapOfDoc\contentMapOfDoc.module.css", "CSS", 0, 0, 0, 0, 112, 3, 11, 126
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\contents\Contents.jsx", "JavaScript JSX", 0, 0, 0, 309, 0, 39, 20, 368
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\contents\contentPagination\ContentPagination.jsx", "JavaScript JSX", 0, 0, 0, 105, 0, 1, 12, 118
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\contents\contentPagination\styles.module.css", "CSS", 0, 0, 0, 0, 53, 0, 11, 64
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\contents\contents.module.css", "CSS", 0, 0, 0, 0, 87, 3, 16, 106
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\customerSupport\CustomerSupport.jsx", "JavaScript JSX", 0, 0, 0, 79, 0, 0, 7, 86
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\customerSupport\customerSupport.module.css", "CSS", 0, 0, 0, 0, 130, 2, 18, 150
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\customerSupport\swiper.css", "CSS", 0, 0, 0, 0, 18, 0, 4, 22
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\formLayout\FormLayout.jsx", "JavaScript JSX", 0, 0, 0, 16, 0, 1, 5, 22
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\formLayout\formLayout.module.css", "CSS", 0, 0, 0, 0, 34, 0, 4, 38
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\globalStyles.css", "CSS", 0, 0, 0, 0, 33, 0, 8, 41
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\radio\Radio.jsx", "JavaScript JSX", 0, 0, 0, 15, 0, 0, 4, 19
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\select\Select.jsx", "JavaScript JSX", 0, 0, 0, 43, 0, 0, 4, 47
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\select\select.module.css", "CSS", 0, 0, 0, 0, 29, 0, 4, 33
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\setWorkflowInDoc.module.css", "CSS", 0, 0, 0, 0, 70, 0, 9, 79
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\checkErrors\CheckErrors.jsx", "JavaScript JSX", 0, 0, 0, 1349, 0, 12, 40, 1401
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\checkErrors\checkErrors.module.css", "CSS", 0, 0, 0, 0, 91, 7, 15, 113
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\connectWebflowToDoc\ConnectWorkFlowToDoc.jsx", "JavaScript JSX", 0, 0, 0, 371, 0, 27, 34, 432
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\connectWebflowToDoc\connectWorkFlowToDoc.module.css", "CSS", 0, 0, 0, 0, 145, 25, 21, 191
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\assignCollapse\AssignCollapse.jsx", "JavaScript JSX", 0, 0, 0, 123, 0, 0, 16, 139
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\assignCollapse\assignCollapse.module.css", "CSS", 0, 0, 0, 0, 69, 1, 13, 83
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\assignCollapse\display\Display.jsx", "JavaScript JSX", 0, 0, 0, 60, 0, 0, 6, 66
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\assignCollapse\location\Location.jsx", "JavaScript JSX", 0, 0, 0, 196, 0, 13, 15, 224
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\assignCollapse\reminder\Reminder.jsx", "JavaScript JSX", 0, 0, 0, 56, 0, 0, 6, 62
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\assignCollapse\time\Time.jsx", "JavaScript JSX", 0, 0, 0, 171, 0, 0, 10, 181
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\assignDocumentMap\AssignDocumentMap.jsx", "JavaScript JSX", 0, 0, 0, 121, 0, 1, 23, 145
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\copiesOfDoc\CopiesOfDoc.jsx", "JavaScript JSX", 0, 0, 0, 205, 0, 3, 27, 235
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\copiesOfDoc\copiesOdDoc.module.css", "CSS", 0, 0, 0, 0, 4, 0, 1, 5
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\selectMembersToAssign\SelectMembersToAssign.jsx", "JavaScript JSX", 0, 0, 0, 1081, 0, 72, 75, 1228
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\selectMembersToAssign\assignTask\AssignTask.jsx", "JavaScript JSX", 0, 0, 0, 252, 0, 0, 20, 272
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\connectWebflowToDoc\contents\selectMembersToAssign\selectMembersToAssign.module.css", "CSS", 0, 0, 0, 0, 78, 0, 15, 93
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\connectWebflowToDoc\dropdown\Dropdown.jsx", "JavaScript JSX", 0, 0, 0, 66, 0, 6, 10, 82
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\connectWebflowToDoc\dropdown\dropdown.module.css", "CSS", 0, 0, 0, 0, 58, 1, 11, 70
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\processDocument\ProcessDocument.jsx", "JavaScript JSX", 0, 0, 0, 417, 0, 97, 66, 580
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\processDocument\components\GeneratedLinksModal\GeneratedLinksModal.jsx", "JavaScript JSX", 0, 0, 0, 219, 0, 2, 17, 238
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\processDocument\components\GeneratedLinksModal\style.module.css", "CSS", 0, 0, 0, 0, 116, 2, 19, 137
"c:\Users\SELENE\Desktop\Web Dev\Do Well\100018-dowellWorkflowAi-testing\src\components\setWorkFlowInDocNew\steps\processDocument\components\SaveConfirmationModal\SaveConfirmationModal.jsx", "JavaScript JSX", 0, 0, 0, 71, 0, 0, 7, 78
